City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,labrador city,52.9463,-66.9114,1.9500000000000455,44,75,6.69,CA,1684774001
1,ushuaia,-54.8,-68.3,3.7900000000000205,81,0,1.03,AR,1684773905
2,hermanus,-34.4187,19.2345,15.450000000000045,62,100,3.13,ZA,1684773929
3,aykhal,66.0,111.5,-1.5,98,100,2.75,RU,1684773905
4,shingu,33.7333,135.9833,18.150000000000034,89,100,1.87,JP,1684774361
5,west island,-12.1568,96.8225,25.99000000000001,89,40,1.54,CC,1684773917
6,camapua,-19.5314,-54.0439,28.629999999999995,37,78,3.41,BR,1684774361
7,nakhon thai,17.1006,100.8374,26.420000000000016,78,83,1.49,TH,1684774361
8,acara,-1.9608,-48.1967,30.590000000000032,64,81,1.61,BR,1684774361
9,albany,42.6001,-73.9662,21.560000000000002,51,2,0.89,US,1684773749
10,cidade velha,14.9167,-23.6167,26.260000000000048,61,40,10.29,CV,1684774361
11,al ghayzah,16.2079,52.176,29.560000000000002,70,37,6.36,YE,1684774362
12,adamstown,-25.066,-130.1015,24.430000000000007,82,100,8.67,PN,1684773898
13,dudinka,69.4058,86.1778,0.9000000000000341,98,100,5.1,RU,1684773992
14,kodiak,57.79,-152.4072,5.730000000000018,87,100,8.75,US,1684773930
15,tiksi,71.6872,128.8694,-14.039999999999964,95,24,2.93,RU,1684773899
16,ilulissat,69.2167,-51.1,0.010000000000047748,59,0,8.23,GL,1684773905
17,hawaiian paradise park,19.5933,-154.9731,21.129999999999995,95,75,1.54,US,1684773915
18,fale old settlement,-9.3852,-171.2468,28.25,77,84,5.55,TK,1684773958
19,margaret river,-33.95,115.0667,16.620000000000005,85,85,3.86,AU,1684773900
20,jayrud,33.8074,36.7404,24.700000000000045,31,31,8.42,SY,1684774362
21,keflavik,64.0049,-22.5624,8.240000000000009,61,100,5.14,IS,1684773836
22,uturoa,-16.7333,-151.4333,27.5,78,5,5.72,PF,1684773929
23,santa cruz,-17.8,-63.1667,28.03000000000003,74,75,7.72,BO,1684774326
24,rundu,-17.9333,19.7667,23.900000000000034,22,9,0.74,NA,1684773900
25,mejit,10.2753,170.8646,27.870000000000005,80,100,6.48,MH,1684773985
26,bairnsdale,-37.8333,147.6167,6.7000000000000455,90,14,2.84,AU,1684774362
27,yellowknife,62.456,-114.3525,11.29000000000002,54,0,5.14,CA,1684773928
28,avarua,-21.2078,-159.775,22.03000000000003,73,75,1.54,CK,1684773916
29,vilhena,-12.7406,-60.1458,29.120000000000005,61,0,4.63,BR,1684774363
